Date,,High,Low,Close,Volume,Adj Close
2016-10-28,42671,42.220001,41.709999,41.779999,6180200,41.779999
2016-10-27,42670,42.490002,41.810001,41.869999,7236500,41.869999
2016-10-26,42669,42.439999,41.950001,42.080002,6117200,42.080002
2016-10-25,42668,42.75,42.43,42.549999,5338900,42.549999
2016-10-24,42667,42.68,42.380001,42.59,4346900,42.59
2016-10-21,42664,42.200001,41.73,42.169998,7194200,42.169998
2016-10-20,42663,42.689999,42.07,42.380001,11671000,42.380001
2016-10-19,42662,42.939999,42.259998,42.73,14532500,42.73
2016-10-18,42661,42.610001,41.630001,41.68,19360800,41.68
2016-10-17,42660,41.939999,41.240002,41.790001,8620400,41.790001
2016-10-14,42657,42.25,41.41,41.439999,7781300,41.439999
2016-10-13,42656,42.080002,41.169998,41.619999,15689700,41.619999
2016-10-12,42655,42.779999,42.049999,42.360001,7290500,42.360001
2016-10-11,42654,44.080002,42.490002,42.68,9513300,42.68
2016-10-10,42653,44.07,43.25,43.919998,6573600,43.919998
2016-10-07,42650,43.68,43.119999,43.220001,8502100,43.220001
2016-10-06,42649,43.82,43.369999,43.68,6293900,43.68
2016-10-05,42648,43.869999,43.220001,43.709999,6117900,43.709999
2016-10-04,42647,43.5,42.959999,43.18,8998400,43.18
2016-10-03,42646,43.18,42.82,43.130001,7965900,43.130001
2016-09-30,42643,43.25,42.720001,43.099998,10374800,43.099998
2016-09-29,42642,43.299999,42.43,42.57,13720700,42.57
2016-09-28,42641,43.720001,43.25,43.689999,7419000,43.689999
2016-09-27,42640,43.41,42.32,43.369999,8765000,43.369999
2016-09-26,42639,42.740002,41.849998,42.290001,12745100,42.290001
2016-09-23,42636,43.759998,42.540001,42.799999,31888500,42.799999
2016-09-22,42635,44.869999,43.740002,44.150002,33355600,44.150002
2016-09-21,42634,44.220001,42.889999,44.139999,12313700,44.139999
2016-09-20,42633,43.389999,42.66,42.790001,9788900,42.790001
2016-09-19,42632,43.950001,43,43.189999,7887400,43.189999
2016-09-16,42629,44.02,43.470001,43.669998,19093900,43.669998
2016-09-15,42628,44.049999,43.220001,43.990002,12533900,43.990002
2016-09-14,42627,43.619999,42.860001,43.459999,11617300,43.459999
2016-09-13,42626,43.52,42.689999,43.040001,10132000,43.040001
2016-09-12,42625,43.650002,42.18,43.459999,10808800,43.459999
2016-09-09,42622,44.150002,42.82,42.919998,12060700,42.919998
2016-09-08,42621,44.720001,44.029999,44.360001,7882600,44.360001
2016-09-07,42620,44.919998,44.189999,44.349998,9109400,44.349998
2016-09-06,42619,44.849998,43.5,44.709999,18125800,44.709999
2016-09-02,42615,43.599998,43.080002,43.279999,7339000,43.279999
2016-09-01,42614,43.099998,42.720001,42.93,5575300,42.93
2016-08-31,42613,42.799999,42.459999,42.75,7715900,42.75
2016-08-30,42612,42.740002,42.279999,42.580002,5804100,42.580002
2016-08-29,42611,42.459999,42.080002,42.259998,4555600,42.259998
2016-08-26,42608,42.610001,41.939999,42.27,6328000,42.27
2016-08-25,42607,42.240002,41.73,42.029999,5360900,42.029999
2016-08-24,42606,42.77,41.790001,41.91,6930300,41.91
2016-08-23,42605,42.91,42.450001,42.599998,8963800,42.599998
2016-08-22,42604,42.869999,42.330002,42.52,6229400,42.52
2016-08-19,42601,43.119999,42.650002,43.02,9460800,43.02
2016-08-18,42600,42.970001,42.59,42.900002,11293900,42.900002
2016-08-17,42599,42.75,42.389999,42.700001,8571900,42.700001
2016-08-16,42598,42.790001,41.950001,42.490002,13793800,42.490002
2016-08-15,42597,43.290001,42.43,42.669998,14441800,42.669998
2016-08-12,42594,42.98,41.279999,42.939999,25182900,42.939999
2016-08-11,42593,41.73,40.93,41.27,23938900,41.27
2016-08-10,42592,39.98,39.299999,39.93,12981600,39.93
2016-08-09,42591,39.310001,39.099998,39.240002,5971500,39.240002
2016-08-08,42590,39.27,38.860001,39.240002,10131300,39.240002
2016-08-05,42587,39.150002,38.900002,38.990002,9127100,38.990002
2016-08-04,42586,39.029999,38.43,38.919998,11000800,38.919998
2016-08-03,42585,38.549999,38.279999,38.389999,5890100,38.389999
2016-08-02,42584,38.669998,38.259998,38.57,7504700,38.57
2016-08-01,42583,38.889999,38.099998,38.799999,9605000,38.799999
2016-07-29,42580,38.52,38.080002,38.189999,13199100,38.189999
2016-07-28,42579,38.639999,38.23,38.52,7424400,38.52
2016-07-27,42578,38.77,38.43,38.66,12148400,38.66
2016-07-26,42577,38.830002,37.900002,38.759998,15978600,38.759998
2016-07-25,42576,39.209999,38.220001,38.32,41814400,38.32
2016-07-22,42573,39.419998,38.779999,39.380001,11325700,39.380001
2016-07-21,42572,39.25,38.720001,38.849998,7671800,38.849998
2016-07-20,42571,38.93,38.259998,38.900002,8178000,38.900002
2016-07-19,42570,38.490002,37.650002,38.169998,10394000,38.169998
2016-07-18,42569,37.970001,37.5,37.950001,16046800,37.950001
2016-07-15,42566,38.189999,37.68,37.720001,13513400,37.720001
2016-07-14,42565,38.349998,37.849998,37.959999,10713000,37.959999
2016-07-13,42564,38.009998,37.459999,37.639999,9566100,37.639999
2016-07-12,42563,38.330002,37.869999,37.889999,15224000,37.889999
2016-07-11,42562,38.150002,37.369999,37.959999,20342600,37.959999
2016-07-08,42559,37.84,37.060001,37.740002,8786600,37.740002
2016-07-07,42558,37.759998,37.290001,37.52,9031400,37.52
2016-07-06,42557,37.560001,37.130001,37.509998,8328100,37.509998
2016-07-05,42556,37.77,37.169998,37.5,8746700,37.5
2016-07-01,42552,38.080002,37.43,37.990002,10602800,37.990002
2016-06-30,42551,37.580002,36.889999,37.560001,15209900,37.560001
2016-06-29,42550,37.080002,36.25,36.860001,10808200,36.860001
2016-06-28,42549,36.139999,35.5,36.040001,10990700,36.040001
2016-06-27,42548,36.009998,35.049999,35.220001,14108600,35.220001
2016-06-24,42545,36.950001,36.09,36.240002,19657800,36.240002
2016-06-23,42544,37.779999,37.41,37.779999,7710900,37.779999
2016-06-22,42543,37.52,37.169998,37.360001,6279200,37.360001
2016-06-21,42542,37.549999,37.200001,37.400002,5574600,37.400002
2016-06-20,42541,37.68,37.240002,37.290001,8957300,37.290001
2016-06-17,42538,37.439999,36.810001,36.939999,12593900,36.939999
2016-06-16,42537,37.450001,36.540001,37.389999,10634000,37.389999
2016-06-15,42536,37.599998,37.099998,37.32,10213200,37.32
2016-06-14,42535,37.439999,36.630001,37.400002,13023100,37.400002
2016-06-13,42534,36.91,36.419998,36.470001,6519800,36.470001
2016-06-10,42531,37.139999,36.59,36.830002,11216500,36.830002
2016-06-09,42530,37.73,36.709999,37.349998,14759100,37.349998
2016-06-08,42529,37.299999,36.84,36.970001,9181900,36.970001
2016-06-07,42528,36.990002,36.630001,36.73,14757100,36.73
2016-06-06,42527,37.200001,36.52,37.07,8426100,37.07
2016-06-03,42524,37.110001,36.5,36.599998,12059100,36.599998
2016-06-02,42523,37.220001,36.580002,37.150002,12179300,37.150002
2016-06-01,42522,37.740002,36.560001,36.650002,22177600,36.650002
2016-05-31,42521,38.080002,37.5,37.939999,12873600,37.939999
2016-05-27,42517,37.880001,36.84,37.82,14642500,37.82
2016-05-26,42516,36.849998,36.07,36.759998,16285700,36.759998
2016-05-25,42515,36.959999,35.470001,35.59,33984900,35.59
2016-05-24,42514,37.630001,36.77,37.529999,10623800,37.529999
2016-05-23,42513,36.950001,36.43,36.66,7785800,36.66
2016-05-20,42510,36.720001,35.880001,36.5,34330700,36.5
2016-05-19,42509,37.23,36.669998,37.02,7127500,37.02
2016-05-18,42508,37.5,36.889999,37.240002,8465900,37.240002
2016-05-17,42507,37.700001,37.25,37.27,11340300,37.27
2016-05-16,42506,37.790001,36.880001,37.48,16995100,37.48
2016-05-13,42503,37.07,36.380001,36.48,11073200,36.48
2016-05-12,42502,37.509998,36.790001,37.029999,11170900,37.029999
2016-05-11,42501,37.630001,37.200001,37.369999,10010800,37.369999
2016-05-10,42500,37.580002,37.139999,37.439999,7178500,37.439999
2016-05-09,42499,37.349998,36.919998,37.18,6157400,37.18
2016-05-06,42496,37.310001,36.490002,37.23,9208300,37.23
2016-05-05,42495,37.450001,36.860001,36.939999,13718900,36.939999
2016-05-04,42494,36.09,35.740002,36,9668700,36
2016-05-03,42493,36.41,35.91,36.009998,9088800,36.009998
2016-05-02,42492,36.740002,36.32,36.529999,6585500,36.529999
2016-04-29,42489,36.98,36.150002,36.599998,12006800,36.599998
2016-04-28,42488,37.439999,36.509998,36.59,13175900,36.59
2016-04-27,42487,37.59,36.630001,36.950001,16401800,36.950001
2016-04-26,42486,37.540001,36.91,37.110001,10083100,37.110001
2016-04-25,42485,37.540001,37.18,37.23,9832100,37.23
2016-04-22,42482,38.09,37.16,37.48,9106700,37.48
2016-04-21,42481,38.119999,37.349998,37.669998,11658700,37.669998
2016-04-20,42480,38.189999,37,37.84,30761900,37.84
2016-04-19,42479,36.73,36.110001,36.330002,20460600,36.330002
2016-04-18,42478,37,35.880001,36.52,17723000,36.52
2016-04-15,42475,37.150002,36.419998,36.509998,19046900,36.509998
2016-04-14,42474,37.5,36.849998,37.169998,16620000,37.169998
2016-04-13,42473,37.349998,36.900002,37.310001,17166400,37.310001
2016-04-12,42472,36.830002,36.279999,36.66,10447800,36.66
2016-04-11,42471,36.849998,36.32,36.48,13750800,36.48
2016-04-08,42468,36.919998,35.619999,36.07,20273400,36.07
2016-04-07,42467,37.25,35.720001,36.169998,38789100,36.169998
2016-04-06,42466,37,36.310001,36.66,19445000,36.66
2016-04-05,42465,36.919998,36.220001,36.41,12443000,36.41
2016-04-04,42464,37.5,36.540001,37.02,20227300,37.02
2016-04-01,42461,36.880001,36.310001,36.48,13656200,36.48
2016-03-31,42460,37.02,36.5,36.810001,18679000,36.810001
2016-03-30,42459,37.279999,36.439999,36.560001,19849800,36.560001
2016-03-29,42458,36.43,35.009998,36.32,23603400,36.32
2016-03-28,42457,35.450001,34.619999,35.23,12981000,35.23
2016-03-24,42453,34.869999,33.93,34.860001,14118600,34.860001
2016-03-23,42452,35.700001,34.709999,34.799999,12217700,34.799999
2016-03-22,42451,35.610001,34.68,35.41,11613900,35.41
2016-03-21,42450,36.099998,35,35.470001,13551300,35.470001
2016-03-18,42447,35.209999,34.380001,35.169998,20552600,35.169998
2016-03-17,42446,34.549999,33.869999,34.279999,9335700,34.279999
2016-03-16,42445,34.080002,33,34.009998,11002500,34.009998
